"Genes","ENSMBLID","chr","start","stop"
"MIR298","ENSG00000216031.1","chr20",57393281,57393368
"RP11-261P9.4","ENSG00000254419.1","chr20",57285851,57286689
"SNRPFP1","ENSG00000231878.1","chr20",48346128,48346379
"C20orf78","ENSG00000149443.4","chr20",18790372,18810797
"SPINT3","ENSG00000101446.7","chr20",44141101,44144264
"RP5-1027G4.3","ENSG00000179447.2","chr20",19222946,19265240
"MKKS","ENSG00000125863.13","chr20",10381657,10414870
"RP11-347D21.4","ENSG00000229522.1","chr20",46612148,46613057
"PIEZO1P1","ENSG00000233686.3","chr20",58035674,58035892
"GAPDHP54","ENSG00000226769.1","chr20",45626235,45627127
"RP5-859I17.2","ENSG00000228438.1","chr20",8910542,8910685
"NELFCD","ENSG00000101158.8","chr20",57556263,57570188
"RP4-678D15.1","ENSG00000271774.1","chr20",51872518,52103813
"RP5-977B1.7","ENSG00000232907.3","chr20",35136563,35201794
"STK35","ENSG00000125834.8","chr20",2082257,2157684
"SERINC3","ENSG00000132824.9","chr20",43124862,43150750
"FAM83D","ENSG00000101447.9","chr20",37554955,37581703
"RP4-730D4.1","ENSG00000229892.1","chr20",41235334,41236199
"RNU1-94P","ENSG00000199497.1","chr20",30489057,30489229
"RPS10L","ENSG00000101278.6","chr20",820090,820620
"PLK1S1","ENSG00000088970.11","chr20",21106624,21227260
"RP4-673D20.1","ENSG00000223750.1","chr20",1645929,1688846
"KIF16B","ENSG00000089177.13","chr20",16252749,16554078
"TFAP2C","ENSG00000087510.5","chr20",55204358,55214339
"GZF1","ENSG00000125812.11","chr20",23342787,23353700
"HAUS6P2","ENSG00000236121.1","chr20",29929174,29932274
"RP5-1195D24.1","ENSG00000236985.1","chr20",16838607,16844793
"MYLK2","ENSG00000101306.6","chr20",30407111,30422492
"NOP56","ENSG00000101361.10","chr20",2632791,2639039
"SUMO1P1","ENSG00000241721.1","chr20",52491791,52492096
"RP5-860P4.2","ENSG00000231015.1","chr20",24660183,24661627
"EPB41L1","ENSG00000088367.16","chr20",34679426,34820721
"MIR1-1","ENSG00000199017.1","chr20",61151510,61151586
"RBPJL","ENSG00000124232.6","chr20",43935491,43945803
"TSPY26P","ENSG00000235217.5","chr20",30774280,30778330
"LINC00658","ENSG00000226995.3","chr20",5407541,5451740
"AL031663.2","ENSG00000269549.1","chr20",44074071,44077220
"Y_RNA","ENSG00000201501.1","chr20",49179546,49179647
"AL034548.1","ENSG00000247315.2","chr20",278214,280961
"GCNT7","ENSG00000124091.5","chr20",55066548,55100981
"RP11-388K2.1","ENSG00000225181.1","chr20",15532802,15533530
"MIR548O2","ENSG00000263473.1","chr20",37145206,37145275
"BPIFA1","ENSG00000198183.7","chr20",31823801,31831115
"RNA5SP480","ENSG00000252649.1","chr20",29944673,29944781
"RNA5SP486","ENSG00000251770.1","chr20",46501935,46502017
"RP11-358D14.2","ENSG00000226390.1","chr20",62079404,62080682
"SNORA31","ENSG00000252096.1","chr20",4849630,4849764
"RPF2P1","ENSG00000225357.3","chr20",34340736,34341641
"RTEL1-TNFRSF6B","ENSG00000026036.16","chr20",62290653,62330037
"U3","ENSG00000212165.1","chr20",16963477,16963678
"ARFRP1","ENSG00000101246.15","chr20",62329996,62339377
"ENSAP1","ENSG00000224274.1","chr20",15600139,15600464
"SSTR4","ENSG00000132671.4","chr20",23016057,23017314
"PTPRA","ENSG00000132670.16","chr20",2844830,3019722
"RP5-1116H23.1","ENSG00000234573.1","chr20",4994166,4994370
"IFT52","ENSG00000101052.8","chr20",42219571,42275936
"LPIN3","ENSG00000132793.7","chr20",39969560,39989222
"RP5-1031J8.1","ENSG00000229976.1","chr20",38414363,38441871
"RP1-269M15.3","ENSG00000233508.1","chr20",41818862,41830011
"RPS27AP2","ENSG00000232333.1","chr20",17497488,17497952
"LINC00237","ENSG00000225127.2","chr20",21068245,21086999
"RP11-359G22.2","ENSG00000230400.1","chr20",22656710,22665982
"RP5-881L22.6","ENSG00000233376.1","chr20",43018264,43020177
"PSMF1","ENSG00000125818.13","chr20",1093906,1160596
"RPL17P1","ENSG00000229500.1","chr20",20233947,20234482
"CDS2","ENSG00000101290.9","chr20",5107432,5178533
"SLC32A1","ENSG00000101438.3","chr20",37353105,37358015
"GGTLC1","ENSG00000149435.8","chr20",23965690,23969416
"PTGIS","ENSG00000124212.5","chr20",48120411,48184683
"TPD52L2","ENSG00000101150.13","chr20",62496596,62522898
"BPIFB1","ENSG00000125999.6","chr20",31861286,31897684
"AL035460.1","ENSG00000180344.3","chr20",2677351,2677781
"GTSF1L","ENSG00000124196.5","chr20",42354804,42355638
"RP5-827L5.2","ENSG00000229755.1","chr20",59652280,59652872
"NDUFAF5","ENSG00000101247.13","chr20",13765596,13799067
"CD40","ENSG00000101017.9","chr20",44746911,44758502
"RN7SL594P","ENSG00000242236.1","chr20",25635232,25635517
"snoU13","ENSG00000239157.1","chr20",48556833,48556937
"DEFB126","ENSG00000125788.5","chr20",123010,126392
"POM121L3P","ENSG00000167390.8","chr20",23969929,23971091
"RP5-1112F19.2","ENSG00000227964.1","chr20",50448336,50479451
"AL354984.2","ENSG00000221385.1","chr20",56642512,56642663
"AL031666.1","ENSG00000263770.1","chr20",45943269,45943336
"MGC4294","ENSG00000268941.1","chr20",57209828,57210772
"RP4-806M20.5","ENSG00000270279.1","chr20",57329407,57331894
"PHACTR3","ENSG00000087495.12","chr20",58152564,58422766
"SNORD56","ENSG00000229686.1","chr20",2637270,2637340
"Y_RNA","ENSG00000252791.1","chr20",36681049,36681148
"MIR4326","ENSG00000266104.1","chr20",61918160,61918218
"EEF1A1P34","ENSG00000233324.1","chr20",18763068,18764334
"RP5-1185K9.1","ENSG00000238034.1","chr20",21928285,21951421
"SNORA26","ENSG00000212517.1","chr20",5102063,5102185
"RP4-553F4.2","ENSG00000229188.2","chr20",32316737,32319634
"XKR7","ENSG00000260903.2","chr20",30555805,30591190
"CBLN4","ENSG00000054803.3","chr20",54572496,54580528
"BIRC7","ENSG00000101197.8","chr20",61867235,61871859
"RP4-753D10.3","ENSG00000234646.1","chr20",23012179,23019873
"RPL41P1","ENSG00000227063.4","chr20",21735866,21736171
"MYBL2","ENSG00000101057.11","chr20",42295754,42345136
"RP5-1043L13.1","ENSG00000228340.1","chr20",58662895,59102516
"MIR647","ENSG00000207554.1","chr20",62573984,62574079
"SPATA25","ENSG00000149634.4","chr20",44515128,44516274
"RNU7-72P","ENSG00000252123.1","chr20",48444529,48444590
"RN7SKP111","ENSG00000222281.1","chr20",11799469,11799739
"RP3-461P17.10","ENSG00000234011.2","chr20",44076042,44076982
"PLCG1","ENSG00000124181.10","chr20",39765600,39811629
"AL360078.1","ENSG00000255743.1","chr20",172864,172940
"RNU6ATAC17P","ENSG00000251883.1","chr20",25591789,25591859
"RBM12","ENSG00000244462.3","chr20",34236847,34252878
"WFDC12","ENSG00000168703.5","chr20",43752066,43753106
"RN7SL116P","ENSG00000240474.2","chr20",37501413,37501720
"Y_RNA","ENSG00000202255.1","chr20",35296962,35297073
"RBL1","ENSG00000269846.1","chr20",35724188,35725581
"RPL36P1","ENSG00000230636.1","chr20",51506701,51506925
"YTHDF1","ENSG00000149658.13","chr20",61826781,61847586
"RP5-1085F17.3","ENSG00000260257.1","chr20",31444848,31446557
"ZNF334","ENSG00000198185.7","chr20",45129701,45142198
"HM13","ENSG00000101294.12","chr20",30102231,30157370
"MTG2","ENSG00000101181.13","chr20",60758085,60778624
"ENTPD6","ENSG00000197586.8","chr20",25176329,25207365
"RP11-234K24.3","ENSG00000232406.2","chr20",34736648,34743682
"RPL12P4","ENSG00000185834.9","chr20",53691155,53691685
"RP4-610C12.3","ENSG00000225490.1","chr20",29521637,29522987
"DSN1","ENSG00000149636.11","chr20",35380194,35402221
"LINC00261","ENSG00000259974.2","chr20",22528309,22559280
"SDAD1P2","ENSG00000230750.1","chr20",10366427,10368454
"RN7SL498P","ENSG00000263755.1","chr20",5982379,5982674
"RP11-157P1.4","ENSG00000226332.2","chr20",60880488,60881381
"FASTKD5","ENSG00000215251.3","chr20",3127165,3140543
"PLCB1","ENSG00000182621.12","chr20",8112824,8949003
"SRSF6","ENSG00000124193.10","chr20",42086568,42092245
"TLDC2","ENSG00000101342.5","chr20",35504524,35522638
"NINL","ENSG00000101004.10","chr20",25433341,25566153
"WFDC10B","ENSG00000182931.5","chr20",44313292,44333658
"NPEPL1","ENSG00000215440.7","chr20",57264187,57294294
"PABPC1L","ENSG00000101104.8","chr20",43538703,43587676
"FAT1P1","ENSG00000217809.1","chr20",10869230,10869736
"SLA2","ENSG00000101082.9","chr20",35240721,35274619
"RNU2-52P","ENSG00000222612.1","chr20",39652845,39653034
"RN7SKP271","ENSG00000222460.1","chr20",34231065,34231384
"AL109618.1","ENSG00000221449.1","chr20",6209441,6209595
"RNU6-639P","ENSG00000206801.1","chr20",42425077,42425183
"RN7SL561P","ENSG00000242348.2","chr20",1647006,1647284
"AL162458.1","ENSG00000203346.1","chr20",44644111,44644231
"RP11-19D2.2","ENSG00000261249.1","chr20",7282703,7288079
"C20orf187","ENSG00000125899.6","chr20",11008408,11010014
"RP4-614C15.2","ENSG00000225129.1","chr20",57927250,57932829
"OXT","ENSG00000101405.3","chr20",3052266,3053163
"MIR133A2","ENSG00000207764.1","chr20",61162119,61162220
"RPL12P3","ENSG00000233106.1","chr20",31860068,31860463
"RBBP8NL","ENSG00000130701.3","chr20",60985293,61002589
"RTFDC1","ENSG00000022277.8","chr20",55043647,55093943
"RP13-401N8.1","ENSG00000226465.1","chr20",25731854,25733397
"RP4-775C13.1","ENSG00000234241.1","chr20",6194346,6196028
"FAM182A","ENSG00000125804.9","chr20",26035291,26073683
"AL133228.1","ENSG00000265062.1","chr20",49477445,49477523
"RP4-569M23.2","ENSG00000231119.2","chr20",45981305,45983377
"TMEM230","ENSG00000089063.10","chr20",5080486,5093749
"RPLP0P1","ENSG00000226229.2","chr20",16566978,16567338
"KIF3B","ENSG00000101350.6","chr20",30865467,30922814
"RPL39P","ENSG00000228601.1","chr20",55034484,55034639
"FLRT3","ENSG00000125848.9","chr20",14303634,14318262
"CST8","ENSG00000125815.4","chr20",23471738,23476655
"RP5-1099D15.1","ENSG00000235036.3","chr20",10593509,10594877
"PXMP4","ENSG00000101417.7","chr20",32294512,32308125
"OSER1-AS1","ENSG00000223891.1","chr20",42839600,42854667
"SLPI","ENSG00000124107.5","chr20",43880880,43883205
"WFDC10A","ENSG00000180305.4","chr20",44258165,44259835
"RP11-103J8.2","ENSG00000270777.1","chr20",10981952,10982411
"RP5-977B1.11","ENSG00000259716.1","chr20",35177530,35232932
"RBL1","ENSG00000080839.7","chr20",35624752,35724398
"RP5-854E16.2","ENSG00000224628.2","chr20",29873120,29874638
"SLC35C2","ENSG00000080189.10","chr20",44978167,44993043
"RP5-998H6.2","ENSG00000229957.1","chr20",44797043,44799876
"RP11-77C3.3","ENSG00000237914.1","chr20",1614154,1629118
"RPS27AP3","ENSG00000226144.2","chr20",35677657,35678110
"RNU7-92P","ENSG00000238785.1","chr20",46533092,46533167
"SOX12","ENSG00000177732.6","chr20",306207,310865
"NXT1","ENSG00000132661.3","chr20",23331373,23335414
"CTCFL","ENSG00000124092.8","chr20",56071035,56100708
"RN7SL690P","ENSG00000264879.1","chr20",20297428,20297684
"RP3-453C12.8","ENSG00000232880.1","chr20",44016987,44017345
"JAG1","ENSG00000270408.1","chr20",10625847,10627014
"NECAB3","ENSG00000125967.12","chr20",32244893,32262269
"CST12P","ENSG00000226344.1","chr20",23456337,23460435
"MMP24","ENSG00000125966.8","chr20",33814457,33864801
"ADA","ENSG00000196839.8","chr20",43248163,43280874
"RNA5SP477","ENSG00000199509.1","chr20",21119597,21119715
"BCAS1","ENSG00000064787.8","chr20",52553316,52687304
"RP4-530I15.9","ENSG00000232043.1","chr20",49187512,49194578
"AL121897.1","ENSG00000264308.1","chr20",30865503,30865591
"SOGA1","ENSG00000149639.10","chr20",35405845,35492089
"RNA5SP475","ENSG00000222500.1","chr20",15261410,15261519
"RNU4-40P","ENSG00000201221.1","chr20",34475581,34475723
"RP11-416N4.4","ENSG00000230506.1","chr20",10154168,10177638
"ZSWIM3","ENSG00000132801.5","chr20",44486256,44507761
"RN7SL237P","ENSG00000264767.1","chr20",36726798,36727102
"FAM83C","ENSG00000125998.7","chr20",33873534,33880204
"UBE2V1P1","ENSG00000226632.1","chr20",3342527,3342971
"AL109806.1","ENSG00000179467.1","chr20",55097413,55097855
"LINC00851","ENSG00000237282.3","chr20",18359693,18362128
"SNORD12","ENSG00000212304.1","chr20",47897220,47897309
"RP4-576H24.4","ENSG00000260861.2","chr20",1520790,1600655
"RP4-737E23.2","ENSG00000230387.1","chr20",23168765,23170944
"NPBWR2","ENSG00000125522.3","chr20",62737173,62738524
"GDF5","ENSG00000125965.4","chr20",34021145,34042568
"RP4-550H1.5","ENSG00000237063.1","chr20",34674174,34676114
"COL20A1","ENSG00000101203.12","chr20",61924538,61966203
"CHGB","ENSG00000089199.5","chr20",5892076,5906007
"RP13-379O24.3","ENSG00000272050.1","chr20",61052926,61053650
"LINC00176","ENSG00000196421.3","chr20",62665697,62671315
"SIRPD","ENSG00000125900.8","chr20",1514897,1539489
"BLCAP","ENSG00000166619.8","chr20",36120874,36156333
"UBE2D3P1","ENSG00000225022.1","chr20",5273034,5273477
"RP4-583P15.14","ENSG00000273047.1","chr20",62369623,62371751
"CTD-2514C3.1","ENSG00000204556.4","chr20",25999468,26001320
"CRNKL1","ENSG00000101343.10","chr20",20015012,20036690
"RNA5SP476","ENSG00000252422.1","chr20",18414486,18414588
"PRNP","ENSG00000171867.12","chr20",4666882,4682236
"LINC00489","ENSG00000225759.1","chr20",36247700,36251521
"AP5S1","ENSG00000125843.6","chr20",3801178,3805949
"RP4-640H8.2","ENSG00000204117.1","chr20",36305312,36311636
"SLC13A3","ENSG00000158296.9","chr20",45186463,45304714
"RP3-477O4.16","ENSG00000268340.1","chr20",34106682,34107108
"AL133232.1","ENSG00000221416.1","chr20",55293942,55294025
"Y_RNA","ENSG00000201363.1","chr20",42973479,42973569
"RP11-15M15.2","ENSG00000227705.1","chr20",51812768,51825244
"RP11-243J16.8","ENSG00000230801.1","chr20",30396306,30396552
"KCNG1","ENSG00000026559.9","chr20",49620193,49639666
"AL118525.1","ENSG00000265225.1","chr20",48203218,48203311
"SNORA71B","ENSG00000235408.2","chr20",37053843,37053979
"TOP1","ENSG00000198900.5","chr20",39657458,39753127
"AL117380.2","ENSG00000251772.1","chr20",55575143,55575213
"PTK6","ENSG00000101213.5","chr20",62159778,62168723
"ARHGAP40","ENSG00000124143.6","chr20",37230577,37279678
"RP1-63M2.5","ENSG00000271803.1","chr20",32262323,32263186
"RPL15P1","ENSG00000227343.1","chr20",18070760,18071359
"BPIFA2","ENSG00000131050.6","chr20",31749574,31769218
"AL132768.1","ENSG00000265441.1","chr20",35374459,35374533
"AL031055.1","ENSG00000266136.1","chr20",45439477,45439561
"DKKL1P1","ENSG00000215546.2","chr20",29861973,29862670
"ZNF831","ENSG00000124203.5","chr20",57766075,57834168
"HMGB3P2","ENSG00000231470.1","chr20",34663940,34664523
"Y_RNA","ENSG00000206582.1","chr20",33114315,33114411
"RP4-673D20.3","ENSG00000232528.3","chr20",1748603,1760641
"MIR646","ENSG00000207802.1","chr20",58883532,58883625
"RP3-322G13.7","ENSG00000234832.1","chr20",23327578,23332123
"AL160175.1","ENSG00000268457.1","chr20",30309001,30309134
"CABLES2","ENSG00000149679.7","chr20",60963688,60982341
"PLAGL2","ENSG00000126003.6","chr20",30780306,30795594
"INSM1","ENSG00000173404.3","chr20",20348765,20351590
"RP3-477O4.14","ENSG00000230155.2","chr20",34064028,34078808
"RNU7-141P","ENSG00000238777.1","chr20",58427722,58427783
"RN7SL603P","ENSG00000263659.1","chr20",50557083,50557372
"RP4-684O24.5","ENSG00000233896.1","chr20",1927892,1988163
"MIR1825","ENSG00000221667.1","chr20",30825598,30825650
"SULF2","ENSG00000196562.10","chr20",46285092,46415360
"STX16-NPEPL1","ENSG00000254995.4","chr20",57226490,57290466
"PCSK2","ENSG00000125851.5","chr20",17206752,17465223
"MIR499A","ENSG00000207635.1","chr20",33578179,33578300
"RP11-261N11.8","ENSG00000203900.2","chr20",61991340,62002529
"RP5-828K20.2","ENSG00000225321.1","chr20",22260866,22263310
"PCMTD2","ENSG00000203880.7","chr20",62887094,62926855
"RP5-1121H13.3","ENSG00000228959.1","chr20",40642674,40644118
"MAVS","ENSG00000088888.13","chr20",3827487,3849280
"MAPRE1","ENSG00000101367.8","chr20",31407699,31438211
"RNA5SP485","ENSG00000201923.1","chr20",44188397,44188515
"AL035457.1","ENSG00000263592.1","chr20",49794042,49794136
"AL121899.1","ENSG00000263452.1","chr20",2137858,2137927
"PDRG1","ENSG00000088356.4","chr20",30532758,30539895
"RP4-779E11.3","ENSG00000230176.2","chr20",4173712,4176590
"ADAM33","ENSG00000149451.13","chr20",3648612,3662893
"RP4-715N11.2","ENSG00000232294.1","chr20",51288456,51307468
"RN7SL514P","ENSG00000266199.1","chr20",5006365,5006628
"RN7SKP185","ENSG00000199683.1","chr20",36603558,36603883
"AL050316.1","ENSG00000252629.1","chr20",51679156,51679240
"RNU6ATAC38P","ENSG00000221046.1","chr20",44407337,44407462
"CTD-3184A7.4","ENSG00000232442.1","chr20",62258580,62260177
"SNORD112","ENSG00000252434.1","chr20",39045515,39045586
"SNAP25-AS1","ENSG00000227906.3","chr20",10002620,10349424
"RNU6-407P","ENSG00000202150.1","chr20",33618120,33618223
"RN7SL194P","ENSG00000241840.2","chr20",37981402,37981674
"CDH4","ENSG00000179242.11","chr20",59827482,60515673
"WISP2","ENSG00000064205.6","chr20",43343485,43357150
"RP13-379L11.3","ENSG00000270411.1","chr20",56672323,56672647
"SLC2A10","ENSG00000197496.4","chr20",45338126,45364965
"DEFB117","ENSG00000212717.2","chr20",29948578,29948733
"WFDC9","ENSG00000180205.3","chr20",44236578,44259907
"RPS2P1","ENSG00000225246.1","chr20",32710276,32711096
"RP3-343K2.4","ENSG00000236159.1","chr20",35794177,35794715
"MAP1LC3A","ENSG00000101460.8","chr20",33134658,33148149
"SNAI1","ENSG00000124216.3","chr20",48599536,48605423
"AL121901.1","ENSG00000269117.1","chr20",31823091,31823387
"MIR296","ENSG00000268649.2","chr20",57392187,57392780
"CST3","ENSG00000101439.4","chr20",23608534,23619110
"SNORD86","ENSG00000212498.1","chr20",2636743,2636828
"LRRN4","ENSG00000125872.7","chr20",6021424,6034695
"VSX1","ENSG00000100987.10","chr20",25051521,25062996
"DZANK1","ENSG00000089091.12","chr20",18364011,18447925
"ITPA","ENSG00000125877.8","chr20",3189514,3204516
"AL031663.1","ENSG00000268111.1","chr20",44095910,44107452
"SOX18","ENSG00000203883.5","chr20",62679076,62680994
"RP11-410N8.1","ENSG00000228156.1","chr20",31169765,31181702
"SNAP25","ENSG00000132639.8","chr20",10199478,10288066
"MATN4","ENSG00000124159.11","chr20",43922085,43937169
"MROH8","ENSG00000101353.10","chr20",35729629,35807991
"RP4-583P15.11","ENSG00000231208.4","chr20",62439429,62447874
"MIR4755","ENSG00000264616.1","chr20",32636925,32636996
"RP4-550H1.4","ENSG00000234139.2","chr20",34660363,34673182
"COL9A3","ENSG00000092758.11","chr20",61447596,61472511
"Y_RNA","ENSG00000201498.1","chr20",32971971,32972071
"C20orf24","ENSG00000101084.12","chr20",35234137,35240960
"RP11-290F20.3","ENSG00000224397.1","chr20",48884023,48896332
"MRPS26","ENSG00000125901.5","chr20",3026591,3028900
"RP4-614C15.3","ENSG00000230352.1","chr20",57935982,57939828
"FOXA2","ENSG00000125798.10","chr20",22561643,22566093
"SLC4A11","ENSG00000088836.8","chr20",3208063,3219836
"RP4-673D20.5","ENSG00000236550.1","chr20",1657308,1657553
"RP3-461P17.9","ENSG00000237464.1","chr20",44116253,44118888
"APCDD1L-AS1","ENSG00000231290.1","chr20",57090435,57194944
"SNAP23P","ENSG00000230758.1","chr20",47654894,47655139
"RP4-723E3.1","ENSG00000234948.1","chr20",50827184,51266970
"snoU13","ENSG00000238549.1","chr20",34304393,34304492
"SAMHD1","ENSG00000101347.7","chr20",35518632,35580246
"LINC00687","ENSG00000228422.3","chr20",11781111,11851363
"RNU6-563P","ENSG00000201742.1","chr20",46121722,46121829
"DYNLRB1","ENSG00000125971.12","chr20",33104214,33128762
"Z97053.1","ENSG00000269605.1","chr20",43234346,43248126
"CST7","ENSG00000077984.4","chr20",24929866,24940564
"RN7SL31P","ENSG00000263911.1","chr20",43509479,43509775
"MC3R","ENSG00000124089.4","chr20",54823788,54824871
"RP11-101E14.2","ENSG00000237767.1","chr20",38633119,38637171
"LINC00494","ENSG00000235621.4","chr20",46988693,46999372
"RNU6-192P","ENSG00000212555.1","chr20",17884406,17884505
"RP4-620E11.5","ENSG00000229398.1","chr20",40011023,40011747
"DIDO1","ENSG00000101191.12","chr20",61509090,61569304
"RP1-66N13.1","ENSG00000236874.1","chr20",47012066,47013638
"HRH3","ENSG00000101180.11","chr20",60790026,60795323
"RP5-897D18.1","ENSG00000231604.2","chr20",55305453,55306516
"MIR103A2","ENSG00000199024.1","chr20",3898141,3898218
"RPL7AL2","ENSG00000228210.1","chr20",4571639,4571946
"LINC00686","ENSG00000237687.2","chr20",61326376,61331832
"RP5-1177M21.1","ENSG00000234104.1","chr20",20951089,20953203
"AL121761.1","ENSG00000239120.1","chr20",19715460,19715553
"RP5-843L14.1","ENSG00000225657.2","chr20",55152619,55173677
"RNU6-917P","ENSG00000252103.1","chr20",1509702,1509805
"RNA5SP479","ENSG00000201728.1","chr20",23361533,23361649
"HSPD1P21","ENSG00000229900.1","chr20",44168622,44168866
"C20orf203","ENSG00000198547.4","chr20",31219428,31261743
"RNU6-384P","ENSG00000201770.1","chr20",30168892,30168995
"TMC2","ENSG00000149488.11","chr20",2517253,2622430
"RN7SL839P","ENSG00000266792.1","chr20",3261065,3261355
"PYGB","ENSG00000100994.7","chr20",25228705,25278650
"PIGU","ENSG00000101464.6","chr20",33148346,33264910
"RP11-314N13.3","ENSG00000229728.1","chr20",1342266,1343229
"RP11-352D3.2","ENSG00000205300.3","chr20",4050799,4055812
"TMX4","ENSG00000125827.4","chr20",7957995,8000476
"HMGB1P1","ENSG00000124097.7","chr20",56063448,56064083
"TCEA2","ENSG00000171703.12","chr20",62681189,62703700
"HIGD1AP16","ENSG00000219608.3","chr20",34466398,34466655
"RNU6-919P","ENSG00000252540.1","chr20",48411348,48411451
"RN7SKP74","ENSG00000199719.1","chr20",18275787,18276095
"RP3-337O18.9","ENSG00000271984.1","chr20",44521333,44522058
"C20orf141","ENSG00000258713.2","chr20",2795633,2796479
"TM9SF4","ENSG00000101337.11","chr20",30697309,30755061
"UQCC1","ENSG00000101019.17","chr20",33890369,33999944
"EIF4E2P1","ENSG00000213384.2","chr20",20640354,20640608
"SNORD17","ENSG00000212232.1","chr20",17943353,17943589
"AL109658.1","ENSG00000266085.1","chr20",1469195,1469292
"RNU7-14P","ENSG00000238468.1","chr20",52285236,52285297
"GATA5","ENSG00000130700.6","chr20",61038553,61051026
"RASSF2","ENSG00000101265.11","chr20",4760669,4804291
"RP13-152O15.5","ENSG00000237371.1","chr20",62688156,62688437
"SEC23B","ENSG00000101310.10","chr20",18488137,18542059
"XRN2","ENSG00000088930.6","chr20",21283942,21370463
"RNU6-1019P","ENSG00000201294.1","chr20",3340683,3340789
"RP5-971N18.3","ENSG00000229766.2","chr20",7999870,8024159
"ID1","ENSG00000125968.7","chr20",30193086,30194318
"ERGIC3","ENSG00000125991.14","chr20",34129770,34145405
"CEP250","ENSG00000126001.11","chr20",34042985,34099804
"U3","ENSG00000252536.1","chr20",55182733,55182849
"RP3-410C9.2","ENSG00000238129.1","chr20",26171625,26174582
"RP4-753D4.2","ENSG00000227599.1","chr20",41597383,41600132
"AL035252.1","ENSG00000268302.1","chr20",25207122,25207370
"Y_RNA","ENSG00000206998.1","chr20",42079799,42079900
"RP1-138B7.5","ENSG00000226143.1","chr20",42178029,42179589
"ZNF133","ENSG00000125846.11","chr20",18269121,18297640
"NCOR1P1","ENSG00000240108.1","chr20",26084052,26094664
"BPIFB3","ENSG00000186190.7","chr20",31643230,31661434
"WFDC3","ENSG00000124116.14","chr20",44376583,44420571
"SNHG17","ENSG00000196756.7","chr20",37049235,37063996
"RP4-576H24.5","ENSG00000271523.1","chr20",1572038,1572494
"RP3-511B24.6","ENSG00000272029.1","chr20",39809096,39825427
"RP4-694B14.5","ENSG00000213742.2","chr20",25604681,25658710
"COX6CP2","ENSG00000231715.1","chr20",49096304,49096528
"RP11-323C15.1","ENSG00000235922.1","chr20",45492202,45492743
"WFDC11","ENSG00000180083.6","chr20",44277202,44298909
"TOMM34","ENSG00000025772.7","chr20",43570771,43589127
"RP11-305P22.9","ENSG00000272259.1","chr20",61640735,61716423
"ARFGAP1","ENSG00000101199.8","chr20",61904137,61921142
"MIR663A","ENSG00000227195.4","chr20",26167556,26232162
"COX4I2","ENSG00000131055.4","chr20",30225691,30232809
"ABHD16B","ENSG00000183260.5","chr20",62492566,62494341
"ATP5E","ENSG00000124172.5","chr20",57600522,57607437
"C20ORF135","ENSG00000268858.1","chr20",62492879,62493217
"CSRP2BP","ENSG00000149474.9","chr20",18118762,18169031
"SLC52A3","ENSG00000101276.10","chr20",740724,749131
"RP11-125P18.1","ENSG00000234435.1","chr20",22034831,22055238
"TPM3P2","ENSG00000214200.2","chr20",32500129,32501142
"SNORD36","ENSG00000252227.1","chr20",46764686,46764766
"RP11-560A15.4","ENSG00000231078.1","chr20",55680797,55682184
"RNU6-1166P","ENSG00000222152.1","chr20",34357707,34357789
"AC005220.3","ENSG00000236352.1","chr20",52556699,52559047
"RNU6-929P","ENSG00000207158.1","chr20",55361037,55361143
"TRIB3","ENSG00000101255.6","chr20",361261,378203
"AL139429.1","ENSG00000216017.2","chr20",19570741,19570831
"RPN2","ENSG00000118705.12","chr20",35806813,35870022
"AL121756.1","ENSG00000263856.1","chr20",31645394,31645476
"DLGAP4","ENSG00000080845.13","chr20",34894258,35157040
"RP1-122P22.2","ENSG00000233895.1","chr20",19738352,19790319
"RP1-309F20.4","ENSG00000270951.1","chr20",57451647,57452036
"RP11-23O13.1","ENSG00000270793.1","chr20",20701830,20702522
"RP5-1119D9.4","ENSG00000225988.1","chr20",9485827,9495645
"PPP4R1L","ENSG00000124224.12","chr20",56806188,56884495
"AL050321.1","ENSG00000251713.1","chr20",18150549,18150633
"THBD","ENSG00000178726.6","chr20",23026270,23030378
"SYNDIG1","ENSG00000101463.5","chr20",24449835,24647252
"GAPDHP2","ENSG00000236811.1","chr20",13373324,13374321
"OGFR","ENSG00000060491.12","chr20",61436187,61445352
"CDH26","ENSG00000124215.12","chr20",58533471,58609066
"CTSA","ENSG00000064601.12","chr20",44518783,44527459
"RP11-112L6.3","ENSG00000237595.2","chr20",48780001,48782639
"PROKR2","ENSG00000101292.6","chr20",5282317,5297378
"AL023913.1","ENSG00000211588.1","chr20",10342736,10342878
"DOK5","ENSG00000101134.7","chr20",53092136,53267710
"SAMD10","ENSG00000130590.9","chr20",62605466,62611361
"RP5-890O15.3","ENSG00000215450.2","chr20",45789477,45790339
"AL049539.1","ENSG00000265736.1","chr20",30706457,30706554
"RP4-576H24.2","ENSG00000242324.1","chr20",1497405,1538299
"TGIF2","ENSG00000118707.5","chr20",35201891,35222353
"RP5-1103G7.10","ENSG00000272874.1","chr20",247827,249498
"CTSZ","ENSG00000101160.9","chr20",57570240,57582302
"SNORD56","ENSG00000201151.1","chr20",33704939,33705010
"WFDC6","ENSG00000243543.4","chr20",44162835,44168134
"RNU6-27P","ENSG00000251955.1","chr20",17168155,17168261
